Formula,Smiles,EA (eV),IE (eV),Charge,Svg,Task Id,MW,Oxidation Hydrogen,Reduction Hydrogen,Oxidation Lithium,Reduction Lithium,Oxidation Magnesium,Reduction Magnesium,Point Group
H12 C7 O3,C(=C/C=C/OC)(OC)OC,-0.114,3.184,0,Multiple Molecules - Open Babel Depiction                            O O O H H H H H H H H H H H H,mol-42320,144.168,0.144,-3.154,3.184,-0.114,2.514,-0.784,C1
H14 C16 O2,Oc1c2c(c(c3c1cccc3)O)ccc(c2)CC,0.832,3.425,0,Multiple Molecules - Open Babel Depiction                                              O O H H H H H H H H H H H H H H,mol-37721,119.141,0.385,-2.208,3.425,0.832,2.755,0.162,C1
H26 C16 O2,CC(C)(C)c1cc(c(cc1OC)C(C)(C)C)OC,-0.566,3.441,0,Multiple Molecules - Open Babel Depiction                                                    O O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-118813,125.188,0.401,-3.606,3.441,-0.566,2.771,-1.236,Ci
H36 C21 O4,CC(C)(C)c1cc(c(cc1OC)C(C)(C)C)OCCOCCCOC,,3.455,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-186903,352.508,0.415,,3.455,,2.785,,C1
H8 C6 O4,COC1=C(OC)OC=CO1,-0.17,3.466,0,H8 C6 O4 - Open Babel Depiction                        O H H H H H H H H O O O   H8 C6 O4,mol-39333,144.125,0.426,-3.21,3.466,-0.17,2.796,-0.84,Cs
H30 C18 O3,CC(C)(C)c1cc(c(cc1OC)C(C)(C)C)OCCOC,-0.486,3.486,0,Multiple Molecules - Open Babel Depiction                                                           O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84957,98.143,0.446,-3.526,3.486,-0.486,2.816,-1.156,C1
H10 C16 O4,c1(c2oc(cc2)c2occc2)oc(cc1)c1occc1,0.739,3.514,0,Multiple Molecules - Open Babel Depiction                                              O O O O H H H H H H H H H H,mol-43418,133.124,0.474,-2.301,3.514,0.739,2.844,0.069,C2h
H14 C12 O4,CC1(C)Oc2c(O1)cc1c(c2)OC(O1)(C)C,-0.457,3.52,0,Multiple Molecules - Open Babel Depiction                                        O O O O H H H H H H H H H H H H H H,mol-35674,111.119,0.48,-3.497,3.52,-0.457,2.85,-1.127,Cs
H10 C7 O3,COC1=C(OC)OC=CC1,-0.858,3.533,0,H10 C7 O3 - Open Babel Depiction                          H H H H H H H H H H O O O   H10 C7 O3,mol-12102,142.153,0.493,-3.898,3.533,-0.858,2.863,-1.528,C1
H14 C20 O1,c1(c2c(c(o1)c1ccccc1)cccc2)c1ccccc1,1.1,3.56,0,Multiple Molecules - Open Babel Depiction                                                     O H H H H H H H H H H H H H H,mol-35206,270.325,0.52,-1.94,3.56,1.1,2.89,0.43,C2
H10 C18 O2,c12c(cc3c(c1)cc1c(c3)occ1)cc1c(c2)occ1,1.098,3.562,0,Multiple Molecules - Open Babel Depiction                                                O O H H H H H H H H H H,mol-41968,129.135,0.522,-1.942,3.562,1.098,2.892,0.428,C2h
H22 C26 O4,c12c(c(c3c(c1C)oc1c(o3)cc3c(c1)CCC3)C)oc1c(o2)cc2c(c1)CCC2,-0.492,3.563,0,Multiple Molecules - Open Babel Depiction                                                                        O O O O H H H H H H H H H H H H H H H H H H H H H H,mol-64334,199.225,0.523,-3.532,3.563,-0.492,2.893,-1.162,Ci
H8 C6 O3,CC1=COC(=CO1)OC,-0.468,3.582,0,H8 C6 O3 - Open Babel Depiction                       O H H H H H H H H O O   H8 C6 O3,mol-39310,128.126,0.542,-3.508,3.582,-0.468,2.912,-1.138,Cs
H12 C7 O2,C1(OC(=C(O1)C)C)(C)C,-0.982,3.589,0,Multiple Molecules - Open Babel Depiction                           O O H H H H H H H H H H H H,mol-40635,128.169,0.549,-4.022,3.589,-0.982,2.919,-1.652,Cs
H32 C19 O4,CC(C)(C)c1cc(c(cc1OC)C(C)(C)C)OCOCCOC,,3.594,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84960,324.455,0.554,2476.788,3.594,2479.828,2.924,2479.158,C1
H38 C22 O5,CC(C)(C)c1cc(c(cc1OCCOCCCOC)C(C)(C)C)OCOC,-0.433,3.594,0,Multiple Molecules - Open Babel Depiction                                                                         O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84987,382.534,0.554,-3.473,3.594,-0.433,2.924,-1.103,C1
H26 C16 O2,CC(C)(C)c1c(ccc(c1C(C)(C)C)OC)OC,0.028,3.599,0,Multiple Molecules - Open Babel Depiction                                                    O O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-118944,125.188,0.559,-3.012,3.599,0.028,2.929,-0.642,C2
H20 C18 O2,c12c(cc(c(c1)OC)CCc1ccc(CC2)cc1)OC,-0.332,3.604,0,Multiple Molecules - Open Babel Depiction                                                     O O H H H H H H H H H H H H H H H H H H H H,mol-41442,134.175,0.564,-3.372,3.604,-0.332,2.934,-1.002,C1
H28 C17 O3,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCOC)OC,0.042,3.611,0,Multiple Molecules - Open Babel Depiction                                                        O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-119238,280.402,0.571,-2.998,3.611,0.042,2.941,-0.628,C1
H10 C11 O3,COC1=C(c2ccccc2)OC=CO1,,3.625,0,H10 C11 O3 - Open Babel Depiction                                  O H H H H H H H H H H O O   H10 C11 O3,mol-39258,190.195,0.585,,3.625,,2.955,,C1
H8 C6 O3,CC1=C(OC)OC=CO1,-0.463,3.636,0,H8 C6 O3 - Open Babel Depiction                       O H H H H H H H H O O   H8 C6 O3,mol-39303,128.126,0.596,-3.503,3.636,-0.463,2.966,-1.133,C1
H8 C6 O3,COC1=C(O)OC=CC1,-0.652,3.652,0,H8 C6 O3 - Open Babel Depiction                       O H H H H H H H H O O   H8 C6 O3,mol-9790,128.126,0.612,-3.692,3.652,-0.652,2.982,-1.322,C1
H12 C12 O2,CCC1=COC(=CO1)c1ccccc1,0.327,3.652,0,H12 C12 O2 - Open Babel Depiction                                    O H H H H H H H H H H H H O   H12 C12 O2,mol-22139,188.222,0.612,-2.713,3.652,0.327,2.982,-0.343,C1
H16 C15 O3,Oc1c2c(c(c(c1CC=C(C)C)O)O)cccc2,0.279,3.655,0,Multiple Molecules - Open Babel Depiction                                              O O O H H H H H H H H H H H H H H H H,mol-19324,244.286,0.615,-2.761,3.655,0.279,2.985,-0.391,C1
H6 C5 O3,COC1=COC=CO1,-0.237,3.662,0,H6 C5 O3 - Open Babel Depiction                    O O O H H H H H H   H6 C5 O3,mol-39179,114.099,0.622,-3.277,3.662,-0.237,2.992,-0.907,Cs
H34 C20 O4,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCCOC)OCCOC,0.008,3.665,0,Multiple Molecules - Open Babel Depiction                                                                  O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85157,169.241,0.625,-3.032,3.665,0.008,2.995,-0.662,C2
H36 C21 O4,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCCOCCCOC)OC,0.023,3.666,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85355,352.508,0.626,-3.017,3.666,0.023,2.996,-0.647,C1
H20 C13 O1,[C@]12(C(=CC=C(O1)C)C(CCC2)(C)C)C,-0.308,3.669,0,Multiple Molecules - Open Babel Depiction                                          O H H H H H H H H H H H H H H H H H H H H,mol-57984,192.297,0.629,-3.348,3.669,-0.308,2.999,-0.978,C1
H34 C20 O4,CC(C)(C)c1cc(c(cc1OCCOC)C(C)(C)C)OCCOC,,3.672,0,Multiple Molecules - Open Babel Depiction                                                                  O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84933,169.241,0.632,14.633,3.672,17.673,3.002,17.003,C1
H30 C18 O4,CC(C)(C)c1cc(c(cc1OCOC)C(C)(C)C)OCOC,-0.417,3.695,0,Multiple Molecules - Open Babel Depiction                                                            O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84942,155.214,0.655,-3.457,3.695,-0.417,3.025,-1.087,Ci
H12 C8 O2,CCC1=C(CC=CO1)OC,-0.786,3.71,0,H12 C8 O2 - Open Babel Depiction                            H H H H H H H H H H H H O O   H12 C8 O2,mol-7355,140.18,0.67,-3.826,3.71,-0.786,3.04,-1.456,C1
H6 C5 O3,CC1=C(O)OC=CO1,-0.537,3.721,0,H6 C5 O3 - Open Babel Depiction                    O O O H H H H H H   H6 C5 O3,mol-39186,114.099,0.681,-3.577,3.721,-0.537,3.051,-1.207,C1
H34 C20 O5,CC(C)(C)c1cc(c(cc1OCOC)C(C)(C)C)OCOCCOC,,3.722,0,Multiple Molecules - Open Babel Depiction                                                                   O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84891,354.481,0.682,2830.878,3.722,2833.918,3.052,2833.248,C1
H10 C8 O2,C=CC1=C(OC)OC=CC1,0.048,3.726,0,H10 C8 O2 - Open Babel Depiction                           H H H H H H H H H H O O   H10 C8 O2,mol-4392,138.164,0.686,-2.992,3.726,0.048,3.056,-0.622,C1
H6 C5 O4,COC1=COC(=CO1)O,-0.499,3.731,0,H6 C5 O4 - Open Babel Depiction                     O O O O H H H H H H   H6 C5 O4,mol-39220,130.099,0.691,-3.539,3.731,-0.499,3.061,-1.169,C1
H10 C7 O3,COC1=COC=C(C1)OC,-1.042,3.731,0,H10 C7 O3 - Open Babel Depiction                          H H H H H H H H H H O O O   H10 C7 O3,mol-12061,142.153,0.691,-4.082,3.731,-1.042,3.061,-1.712,C1
H10 C8 O2,C=CC1=C(CC=CO1)OC,0.123,3.732,0,H10 C8 O2 - Open Babel Depiction                           H H H H H H H H H H O O   H10 C8 O2,mol-6698,138.164,0.692,-2.917,3.732,0.123,3.062,-0.547,C1
H8 C6 O3,CCC1=COC=C(O)O1,-0.513,3.736,0,H8 C6 O3 - Open Babel Depiction                       O H H H H H H H H O O   H8 C6 O3,mol-39282,128.126,0.696,-3.553,3.736,-0.513,3.066,-1.183,C1
H6 C5 O3,C1=COC(=C(C1)O)O,-0.467,3.743,0,H6 C5 O3 - Open Babel Depiction                    O O O H H H H H H   H6 C5 O3,mol-8627,114.099,0.703,-3.507,3.743,-0.467,3.073,-1.137,C1
H6 C5 O3,CC1=COC=C(O)O1,-0.511,3.748,0,H6 C5 O3 - Open Babel Depiction                    O O O H H H H H H   H6 C5 O3,mol-39219,114.099,0.708,-3.551,3.748,-0.511,3.078,-1.181,C1
H12 C8 O1,CC[C@H]1C=CC=C1OC,-0.18,3.752,0,Multiple Molecules - Open Babel Depiction                            O H H H H H H H H H H H H,mol-186401,124.18,0.712,-3.22,3.752,-0.18,3.082,-0.85,C1
H10 C11 O3,COC1=COC=C(c2ccccc2)O1,0.173,3.754,0,H10 C11 O3 - Open Babel Depiction                                  O H H H H H H H H H H O O   H10 C11 O3,mol-39283,190.195,0.714,-2.867,3.754,0.173,3.084,-0.497,C1
H8 C6 O3,CCC1=COC(=CO1)O,-0.524,3.755,0,H8 C6 O3 - Open Babel Depiction                       O H H H H H H H H O O   H8 C6 O3,mol-39287,128.126,0.715,-3.564,3.755,-0.524,3.085,-1.194,C1
H14 C16 O2,O(C)c1c2c(c(c3c1cccc3)OC)cccc2,0.981,3.763,0,Multiple Molecules - Open Babel Depiction                                              O O H H H H H H H H H H H H H H,mol-21723,119.141,0.723,-2.059,3.763,0.981,3.093,0.311,C2v
H40 C23 O5,CC(C)(C)c1cc(cc(c1C(C)(C)C)OCCOC)OCCOCCCOC,-0.426,3.771,0,Multiple Molecules - Open Babel Depiction                                                                            O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84681,396.561,0.731,-3.466,3.771,-0.426,3.101,-1.096,C1
H8 C10 O3,c1ccc(cc1)C1=COC=C(O)O1,0.094,3.772,0,H8 C10 O3 - Open Babel Depiction                               O H H H H H H H H O O   H8 C10 O3,mol-39420,176.169,0.732,-2.946,3.772,0.094,3.102,-0.576,C1
H6 C5 O3,CC1=COC(=CO1)O,-0.513,3.779,0,H6 C5 O3 - Open Babel Depiction                    O O O H H H H H H   H6 C5 O3,mol-39204,114.099,0.739,-3.553,3.779,-0.513,3.109,-1.183,Cs
H8 C10 O3,c1ccc(cc1)C1=C(O)OC=CO1,0.03,3.78,0,H8 C10 O3 - Open Babel Depiction                               O H H H H H H H H O O   H8 C10 O3,mol-39147,176.169,0.74,-3.01,3.78,0.03,3.11,-0.64,C1
H10 C11 O2,Oc1c2c(c(cc1C)O)cccc2,0.32,3.781,0,Multiple Molecules - Open Babel Depiction                                  O O H H H H H H H H H H,mol-20474,174.196,0.741,-2.72,3.781,0.32,3.111,-0.35,C1
H10 C6 O2,O1C(OC=C1C)(C)C,-0.994,3.781,0,Multiple Molecules - Open Babel Depiction                        O O H H H H H H H H H H,mol-57774,57.071,0.741,-4.034,3.781,-0.994,3.111,-1.664,C1
H12 C8 O2,CCC1=C(CC)OC=CO1,-0.988,3.781,0,H12 C8 O2 - Open Babel Depiction                            H H H H H H H H H H H H O O   H12 C8 O2,mol-39404,140.18,0.741,-4.028,3.781,-0.988,3.111,-1.658,Cs
H12 C8 O2,CCC1=C(OC)OC=CC1,-0.786,3.784,0,H12 C8 O2 - Open Babel Depiction                            H H H H H H H H H H H H O O   H12 C8 O2,mol-7064,140.18,0.744,-3.826,3.784,-0.786,3.114,-1.456,C1
H4 C4 O3,Oc1oc(cc1)O,-0.572,3.788,0,Multiple Molecules - Open Babel Depiction                  O O O H H H H,mol-27430,100.073,0.748,-3.612,3.788,-0.572,3.118,-1.242,C2
H12 C12 O2,c12c(c(ccc1OC)OC)cccc2,0.128,3.789,0,Multiple Molecules - Open Babel Depiction                                     O O H H H H H H H H H H H H,mol-41577,94.111,0.749,-2.912,3.789,0.128,3.119,-0.542,C2v
H18 C18 O4,c12c(cc3c(c1)cc(c(c3)OC)OC)cc(c(c2)OC)OC,0.698,3.789,0,Multiple Molecules - Open Babel Depiction                                                      O O O O H H H H H H H H H H H H H H H H H H,mol-41760,149.167,0.749,-2.342,3.789,0.698,3.119,0.028,C2
H10 C7 O2,CCC1=COC=C(C)O1,-0.668,3.794,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-39304,126.153,0.754,-3.708,3.794,-0.668,3.124,-1.338,C1
H10 C7 O2,CCC1=COC(=CO1)C,-0.714,3.796,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-39316,126.153,0.756,-3.754,3.796,-0.714,3.126,-1.384,C1
H32 C19 O4,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCOC)OCCOC,0.057,3.797,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85145,324.455,0.757,-2.983,3.797,0.057,3.127,-0.613,C1
H8 C7 O3,C=CC1=COC(=CO1)OC,0.171,3.799,0,H8 C7 O3 - Open Babel Depiction                         O H H H H H H H H O O   H8 C7 O3,mol-39371,140.137,0.759,-2.869,3.799,0.171,3.129,-0.499,C1
H6 C6 O3,C=CC1=C(O)OC=CO1,0.176,3.801,0,H6 C6 O3 - Open Babel Depiction                      O O O H H H H H H   H6 C6 O3,mol-39255,126.11,0.761,-2.864,3.801,0.176,3.131,-0.494,C1
H10 C8 O1,C=C[C@H]1C=CC=C1OC,-0.086,3.802,0,Multiple Molecules - Open Babel Depiction                           O H H H H H H H H H H,mol-89471,122.164,0.762,-3.126,3.802,-0.086,3.132,-0.756,C1
H10 C7 O2,CC1=COC=C(C1)OC,-0.916,3.802,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-12036,126.153,0.762,-3.956,3.802,-0.916,3.132,-1.586,C1
H8 C7 O3,C=CC1=COC=C(OC)O1,0.115,3.805,0,H8 C7 O3 - Open Babel Depiction                         O H H H H H H H H O O   H8 C7 O3,mol-39382,140.137,0.765,-2.925,3.805,0.115,3.135,-0.555,C1
H12 C8 O2,CCC1=COC(=CO1)CC,-0.718,3.806,0,H12 C8 O2 - Open Babel Depiction                            H H H H H H H H H H H H O O   H12 C8 O2,mol-39422,140.18,0.766,-3.758,3.806,-0.718,3.136,-1.388,C2
H8 C6 O2,CC1=C(C)OC=CO1,-0.603,3.806,0,H8 C6 O2 - Open Babel Depiction                      O O H H H H H H H H   H8 C6 O2,mol-39302,112.127,0.766,-3.643,3.806,-0.603,3.136,-1.273,Cs
H4 C4 O4,C1=C(O)OC=C(O)O1,-0.943,3.807,0,H4 C4 O4 - Open Babel Depiction                  O O O O H H H H   H4 C4 O4,mol-39423,116.072,0.767,-3.983,3.807,-0.943,3.137,-1.613,C2
H12 C8 O2,CCC1=COC=C(C1)OC,-0.854,3.807,0,H12 C8 O2 - Open Babel Depiction                            H H H H H H H H H H H H O O   H12 C8 O2,mol-6526,140.18,0.767,-3.894,3.807,-0.854,3.137,-1.524,C1
H36 C21 O5,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCOCCOC)OCCOC,0.035,3.808,0,Multiple Molecules - Open Babel Depiction                                                                      O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85153,368.508,0.768,-3.005,3.808,0.035,3.138,-0.635,C1
H10 C7 O2,CC1=C(OC)OC=CC1,-0.872,3.809,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-12063,126.153,0.769,-3.912,3.809,-0.872,3.139,-1.542,C1
H8 C6 O2,CC1=COC=C(C)O1,-0.664,3.81,0,H8 C6 O2 - Open Babel Depiction                      O O H H H H H H H H   H8 C6 O2,mol-39339,112.127,0.77,-3.704,3.81,-0.664,3.14,-1.334,C2v
H42 C24 O6,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCOCCOC)OCCOCCCOC,,3.815,0,Multiple Molecules - Open Babel Depiction                                                                                O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85170,71.098,0.775,,3.815,,3.145,,C1
H10 C11 O2,CC1=C(c2ccccc2)OC=CO1,0.027,3.816,0,H10 C11 O2 - Open Babel Depiction                                 O H H H H H H H H H H O   H10 C11 O2,mol-39206,174.196,0.776,-3.013,3.816,0.027,3.146,-0.643,C1
H10 C11 O2,CC1=COC(=CO1)c1ccccc1,0.092,3.818,0,H10 C11 O2 - Open Babel Depiction                                 O H H H H H H H H H H O   H10 C11 O2,mol-39279,174.196,0.778,-2.948,3.818,0.092,3.148,-0.578,C1
H10 C11 O2,CC1=COC=C(c2ccccc2)O1,0.123,3.818,0,H10 C11 O2 - Open Babel Depiction                                 O H H H H H H H H H H O   H10 C11 O2,mol-39208,174.196,0.778,-2.917,3.818,0.123,3.148,-0.547,C1
H12 C12 O2,CCC1=COC=C(c2ccccc2)O1,0.114,3.819,0,H12 C12 O2 - Open Babel Depiction                                    O H H H H H H H H H H H H O   H12 C12 O2,mol-39369,188.222,0.779,-2.926,3.819,0.114,3.149,-0.556,C1
H10 C7 O2,CC1=CCC(=CO1)OC,-0.993,3.821,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-12017,126.153,0.781,-4.033,3.821,-0.993,3.151,-1.663,C1
H10 C7 O2,CCC1=C(CC=CO1)O,-0.488,3.823,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-11930,126.153,0.783,-3.528,3.823,-0.488,3.153,-1.158,C1
H10 C11 O2,c1ccc(cc1)C1=C(CC=CO1)O,0.053,3.826,0,H10 C11 O2 - Open Babel Depiction                                 O H H H H H H H H H H O   H10 C11 O2,mol-12046,174.196,0.786,-2.987,3.826,0.053,3.156,-0.617,C1
H40 C23 O5,CC(C)(C)c1cc(cc(c1C(C)(C)C)OCCOCCCOC)OCCOC,-0.243,3.828,0,Multiple Molecules - Open Babel Depiction                                                                            O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-186887,396.561,0.788,-3.283,3.828,-0.243,3.158,-0.913,C1
H6 C5 O3,C1C(=COC=C1O)O,-0.641,3.829,0,H6 C5 O3 - Open Babel Depiction                    O O O H H H H H H   H6 C5 O3,mol-8552,114.099,0.789,-3.681,3.829,-0.641,3.159,-1.311,Cs
H12 C16 O2,c1ccc(cc1)C1=C(c2ccccc2)OC=CO1,0.566,3.832,0,H12 C16 O2 - Open Babel Depiction                                            H H H H H H H H H H H H O O   H12 C16 O2,mol-39460,236.265,0.792,-2.474,3.832,0.566,3.162,-0.104,C1
H8 C6 O2,CC1=C(CC=CO1)O,-0.486,3.834,0,H8 C6 O2 - Open Babel Depiction                      O O H H H H H H H H   H8 C6 O2,mol-9778,112.127,0.794,-3.526,3.834,-0.486,3.164,-1.156,C1
H12 C16 O2,c1ccc(cc1)C1=COC(=CO1)c1ccccc1,0.302,3.839,0,H12 C16 O2 - Open Babel Depiction                                            H H H H H H H H H H H H O O   H12 C16 O2,mol-39402,236.265,0.799,-2.738,3.839,0.302,3.169,-0.368,C1
H12 C15 O1,c12c(c3c(cc1cccc2)cccc3)OC,0.954,3.841,0,Multiple Molecules - Open Babel Depiction                                          O H H H H H H H H H H H H,mol-39435,208.255,0.801,-2.086,3.841,0.954,3.171,0.284,Cs
H6 C6 O3,C=CC1=COC=C(O)O1,-0.016,3.841,0,H6 C6 O3 - Open Babel Depiction                      O O O H H H H H H   H6 C6 O3,mol-39245,126.11,0.801,-3.056,3.841,-0.016,3.171,-0.686,Cs
H12 C12 O2,CCC1=C(c2ccccc2)OC=CO1,-0.029,3.845,0,H12 C12 O2 - Open Babel Depiction                                    O H H H H H H H H H H H H O   H12 C12 O2,mol-39379,188.222,0.805,-3.069,3.845,-0.029,3.175,-0.699,C1
H32 C19 O4,CC(C)(C)c1cc(c(c(c1)OCCOC)OCOC)C(C)(C)C,-0.594,3.846,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85101,324.455,0.806,-3.634,3.846,-0.594,3.176,-1.264,C1
H30 C18 O3,CC(C)(C)c1cc(cc(c1C(C)(C)C)OC)OCCOC,,3.846,0,Multiple Molecules - Open Babel Depiction                                                           O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84598,98.143,0.806,3066.343,3.846,3069.383,3.176,3068.713,C1
H36 C21 O5,CC(C)(C)c1cc(c(c(c1)OCCOC)OCOCCOC)C(C)(C)C,-0.707,3.846,0,Multiple Molecules - Open Babel Depiction                                                                      O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85106,368.508,0.806,-3.747,3.846,-0.707,3.176,-1.377,C1
H6 C7 O3,C#CC1=C(OC)OC=CO1,0.368,3.848,0,H6 C7 O3 - Open Babel Depiction                        O O O H H H H H H   H6 C7 O3,mol-39341,138.121,0.808,-2.672,3.848,0.368,3.178,-0.302,C1
H6 C6 O3,C=CC1=COC(=CO1)O,0.252,3.853,0,H6 C6 O3 - Open Babel Depiction                      O O O H H H H H H   H6 C6 O3,mol-39248,126.11,0.813,-2.788,3.853,0.252,3.183,-0.418,Cs
H30 C18 O3,CC(C)(C)c1cc(c(c(c1)OCCOC)OC)C(C)(C)C,-0.749,3.854,0,Multiple Molecules - Open Babel Depiction                                                           O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85039,98.143,0.814,-3.789,3.854,-0.749,3.184,-1.419,C1
H8 C7 O2,C=CC1=C(C)OC=CO1,0.099,3.855,0,H8 C7 O2 - Open Babel Depiction                        O H H H H H H H H O   H8 C7 O2,mol-39360,124.137,0.815,-2.941,3.855,0.099,3.185,-0.571,Cs
H10 C14 O1,c12c(cc3c(c1)cccc3)cccc2O,0.956,3.856,0,Multiple Molecules - Open Babel Depiction                                       O H H H H H H H H H H,mol-45071,194.229,0.816,-2.084,3.856,0.956,3.186,0.286,Cs
H14 C10 O2,c1(c(cc(c(c1)C)OC)C)OC,-1.146,3.857,0,Multiple Molecules - Open Babel Depiction                                  O O H H H H H H H H H H H H H H,mol-40786,83.108,0.817,-4.186,3.857,-1.146,3.187,-1.816,C2h
H10 C14 O2,C1(=COc2c(O1)cccc2)c1ccccc1,0.39,3.858,0,Multiple Molecules - Open Babel Depiction                                        O O H H H H H H H H H H,mol-57020,105.114,0.818,-2.65,3.858,0.39,3.188,-0.28,C1
H10 C7 O1,CC[C@H]1C=CC=C1O,-0.232,3.861,0,Multiple Molecules - Open Babel Depiction                         O H H H H H H H H H H,mol-184166,110.154,0.821,-3.272,3.861,-0.232,3.191,-0.902,C1
H36 C21 O4,CC(C)(C)c1cc(cc(c1C(C)(C)C)OC)OCCOCCCOC,-0.434,3.866,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84642,352.508,0.826,-3.474,3.866,-0.434,3.196,-1.104,C1
H8 C7 O2,C=CC1=C(CC=CO1)O,0.071,3.867,0,H8 C7 O2 - Open Babel Depiction                        O H H H H H H H H O   H8 C7 O2,mol-13205,124.137,0.827,-2.969,3.867,0.071,3.197,-0.599,Cs
H14 C10 O2,Cc1c(C)c(O)c(c(c1O)C)C,-0.783,3.868,0,Multiple Molecules - Open Babel Depiction                                  O O H H H H H H H H H H H H H H,mol-20541,83.108,0.828,-3.823,3.868,-0.783,3.198,-1.453,C2
H24 C19 O2,c12c(c(c3c(c1OC)[C@H]1CC[C@@H]3CC1)OC)[C@@H]1C[C@H]2CC1,-0.915,3.872,0,Multiple Molecules - Open Babel Depiction                                                         O O H H H H H H H H H H H H H H H H H H H H H H H H,mol-58950,284.393,0.832,-3.955,3.872,-0.915,3.202,-1.585,Cs
H26 C16 O2,CC(C)(C)c1cc(cc(c1C(C)(C)C)OC)OC,-0.353,3.874,0,Multiple Molecules - Open Babel Depiction                                                    O O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-110349,125.188,0.834,-3.393,3.874,-0.353,3.204,-1.023,C1
H8 C6 O1,C[C@H]1C=CC=C1O,-0.285,3.877,0,Multiple Molecules - Open Babel Depiction                      O H H H H H H H H,mol-101117,96.127,0.837,-3.325,3.877,-0.285,3.207,-0.955,C1
H8 C7 O2,C=CC1=COC(=CO1)C,0.102,3.878,0,H8 C7 O2 - Open Babel Depiction                        O H H H H H H H H O   H8 C7 O2,mol-39358,124.137,0.838,-2.938,3.878,0.102,3.208,-0.568,Cs
H10 C6 O2,C(=CC=C)(OC)OC,0.008,3.879,0,Multiple Molecules - Open Babel Depiction                        O O H H H H H H H H H H,mol-42136,57.071,0.839,-3.032,3.879,0.008,3.209,-0.662,C1
H8 C10 O2,Oc1c2c(c(cc1)O)cccc2,0.37,3.882,0,Multiple Molecules - Open Babel Depiction                               O O H H H H H H H H,mol-27224,80.085,0.842,-2.67,3.882,0.37,3.212,-0.3,C2
H10 C8 O2,C=CC1=COC(=CO1)CC,0.067,3.884,0,H10 C8 O2 - Open Babel Depiction                           H H H H H H H H H H O O   H10 C8 O2,mol-39432,138.164,0.844,-2.973,3.884,0.067,3.214,-0.603,C1
H12 C12 O1,COC1=CC=C[C@@H]1c1ccccc1,-0.237,3.889,0,Multiple Molecules - Open Babel Depiction                                         O H H H H H H H H H H H H,mol-109868,172.223,0.849,-3.277,3.889,-0.237,3.219,-0.907,C1
