Formula,Smiles,EA (eV),IE (eV),Charge,Svg,Task Id,MW,Oxidation Hydrogen,Reduction Hydrogen,Oxidation Lithium,Reduction Lithium,Oxidation Magnesium,Reduction Magnesium,Point Group
H30 C18 O4,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCOC)OCOC,,,0,Multiple Molecules - Open Babel Depiction                                                            O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85249,155.214,3145.544,-4047.783,3148.584,-4044.743,3147.914,-4045.413,C1
H4 C4 O3,C1(=O)OC(=O)CC1,0.801,,0,Multiple Molecules - Open Babel Depiction                  O O O H H H H,mol-55257,100.073,,-2.239,,0.801,,0.131,C2v
H14 C7 O1,CC[C@@H]1CC[C@H](C1)O,,,0,H14 C7 O1 - Open Babel Depiction                               H H H H H H H H H H H H H H O   H14 C7 O1,mol-27449,114.185,260.839,-266.532,263.879,-263.492,263.209,-264.162,C1
H16 C8 O1,C[C@@H]1CCC[C@@H](C1)OC,,,0,H16 C8 O1 - Open Babel Depiction                             H H H H H H H H H H H H H H H H O   H16 C8 O1,mol-24765,128.212,292.019,-298.452,295.059,-295.412,294.389,-296.082,C1
H14 C7 O1,C[C@@H]1CCC[C@@H]1OC,,,0,H14 C7 O1 - Open Babel Depiction                           H H H H H H H H H H H H H H O   H14 C7 O1,mol-27500,114.185,260.673,-266.81,263.713,-263.77,263.043,-264.44,C1
H16 C8 O2,CO[C@H]1CCCC[C@H]1OC,,,0,H16 C8 O2 - Open Babel Depiction                                         H H H H H H H H H H H H H H H H O O   H16 C8 O2,mol-24816,144.211,334.908,-341.7,337.948,-338.66,337.278,-339.33,C1
H32 C19 O4,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCOCCOC)OC,,,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85416,324.455,3051.962,-3054.197,3055.002,-3051.157,3054.332,-3051.827,C1
H38 C22 O6,CC(C)(C)c1cc(c(c(c1)OCOCCOC)C(C)(C)C)OCOCCOC,-0.841,,0,Multiple Molecules - Open Babel Depiction                                                                          O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85248,199.267,,-3.881,,-0.841,,-1.511,C1
H38 C22 O6,CC(C)(C)c1cc(c(cc1OCOCCOC)C(C)(C)C)OCOCCOC,,,0,Multiple Molecules - Open Babel Depiction                                                                          O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84966,199.267,,3123.365,,3126.405,,3125.735,C1
H30 C18 O4,CC(C)(C)c1cc(c(c(c1)OCOC)OCOC)C(C)(C)C,,,0,Multiple Molecules - Open Babel Depiction                                                            O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85149,155.214,1628.299,-1631.117,1631.339,-1628.077,1630.669,-1628.747,C1
H42 C24 O6,CC(C)(C)c1ccc(c(c1OCCOCCCOC)C(C)(C)C)OCOCCOC,-0.557,,0,Multiple Molecules - Open Babel Depiction                                                                                O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84789,71.098,,-3.597,,-0.557,,-1.227,C1
H34 C21 O6,CC(C)(C)c1c2CCCCc2c(c(c1O)O)OCCOCCOCCOC,-0.351,,0,Multiple Molecules - Open Babel Depiction                                                                      O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84466,382.491,,-3.391,,-0.351,,-1.021,C1
H30 C18 O4,CC(C)(C)c1cc(c(cc1OCOC)OCOC)C(C)(C)C,-0.566,,0,Multiple Molecules - Open Babel Depiction                                                            O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85034,155.214,-3572.772,-3.606,-3569.732,-0.566,-3570.402,-1.236,C2
H12 C6 O2,C1CC[C@H]([C@H](C1)O)O,,,0,H12 C6 O2 - Open Babel Depiction                         H H H H H H H H H H H H O O   H12 C6 O2,mol-25622,116.158,272.903,-278.413,275.943,-275.373,275.273,-276.043,C1
H16 C8 O1,C[C@H]1CCCC[C@H]1OC,,,0,H16 C8 O1 - Open Babel Depiction                                   H H H H H H H H H H H H H H H H O   H16 C8 O1,mol-24818,128.212,292.195,-298.307,295.235,-295.267,294.565,-295.937,C1
H12 C6 O2,C1CCC(CC1)(O)O,-0.509,,0,H12 C6 O2 - Open Babel Depiction                        H H H H H H H H H H H H O O   H12 C6 O2,mol-25091,116.158,273.016,-3.549,276.056,-0.509,275.386,-1.179,C1
H36 C21 O4,CC(C)(C)c1cc(c(c(c1)OCCOCCCOC)C(C)(C)C)OC,-1.023,,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85363,352.508,,-4.063,,-1.023,,-1.693,C1
H10 C7 O1,C[C@@H]1C=CC=C1OC,-0.499,,0,H10 C7 O1 - Open Babel Depiction                             H H H H H H H H H H O   H10 C7 O1,mol-25746,110.154,252.621,-3.539,255.661,-0.499,254.991,-1.169,C1
H40 C23 O5,CC(C)(C)c1cc(cc(c1OCCOC)C(C)(C)C)OCCOCCCOC,-0.555,,0,Multiple Molecules - Open Babel Depiction                                                                            O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-186892,396.561,,-3.595,,-0.555,,-1.225,C1
H30 C18 O3,CC(C)(C)c1ccc(c(c1OC)OCCOC)C(C)(C)C,-0.624,,0,Multiple Molecules - Open Babel Depiction                                                           O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84947,98.143,-2719.594,-3.664,-2716.554,-0.624,-2717.224,-1.294,C1
H38 C22 O6,CC(C)(C)c1ccc(c(c1OCOCCOC)OCOCCOC)C(C)(C)C,-0.56,,0,Multiple Molecules - Open Babel Depiction                                                                          O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84915,199.267,,-3.6,,-0.56,,-1.23,C1
H36 C21 O4,CC(C)(C)c1ccc(c(c1OC)C(C)(C)C)OCCOCCCOC,-0.626,,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84667,352.508,,-3.666,,-0.626,,-1.296,C1
H36 C22 O9,COCCOCCOCCOc1c2CCCCc2c(c(c1O)O)OCCOCCOC,-0.497,,0,Multiple Molecules - Open Babel Depiction                                                                            O O O O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84504,444.516,,-3.537,,-0.497,,-1.167,C1
H32 C20 O8,COCCOCCOc1c2CCCCc2c(c(c1O)O)OCCOCCOC,-0.59,,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-83301,100.116,,-3.63,,-0.59,,-1.26,C1
H12 C17 O2,c1cc2c(c(c1)C)C(=O)c1c(C2=O)c(ccc1)C=C,2.07,,0,Multiple Molecules - Open Babel Depiction                                               H H H H H H O O H H H H H H,mol-13112,248.276,,-0.97,,2.07,,1.4,C1
H22 C20 O2,[C@](CCCC(=O)c1ccccc1)(O)(C1CC1)c1ccccc1,0.886,,0,Multiple Molecules - Open Babel Depiction                                                               O O H H H H H H H H H H H H H H H H H H H H H H,mol-21299,147.194,,-2.154,,0.886,,0.216,C1
H14 C7 O1,CC1(CCCCC1)O,,,0,H14 C7 O1 - Open Babel Depiction                          H H H H H H H H H H H H H H O   H14 C7 O1,mol-25207,114.185,261.036,-266.579,264.076,-263.539,263.406,-264.209,C1
H14 C8 O1,C=C[C@H]1CCCC[C@H]1O,,,0,H14 C8 O1 - Open Babel Depiction                                  H H H H H H H H H H H H H H O   H14 C8 O1,mol-24857,126.196,288.531,-293.536,291.571,-290.496,290.901,-291.166,C1
H32 C19 O4,CC(C)(C)c1ccc(c(c1C(C)(C)C)OCOCCOC)OC,,,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84723,324.455,-1800.516,-1097.881,-1797.476,-1094.841,-1798.146,-1095.511,C1
H34 C20 O4,CC(C)(C)c1ccc(c(c1OCCOC)C(C)(C)C)OCCOC,-0.656,,0,Multiple Molecules - Open Babel Depiction                                                                  O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84615,169.241,,-3.696,,-0.656,,-1.326,C1
H42 C24 O6,CC(C)(C)c1cc(c(cc1OCCOCCCOC)C(C)(C)C)OCOCCOC,,,0,Multiple Molecules - Open Babel Depiction                                                                                O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84971,71.098,,3547.729,,3550.769,,3550.099,C1
H38 C22 O5,CC(C)(C)c1cc(cc(c1C(C)(C)C)OCCOCCCOC)OCOC,-0.255,,0,Multiple Molecules - Open Babel Depiction                                                                         O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84619,382.534,,-3.295,,-0.255,,-0.925,C1
H32 C19 O4,CC(C)(C)c1ccc(c(c1OC)C(C)(C)C)OCOCCOC,-0.668,,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84618,324.455,,-3.708,,-0.668,,-1.338,C1
H14 C7 O1,C[C@@H]1CC[C@H](C1)OC,,,0,H14 C7 O1 - Open Babel Depiction                               H H H H H H H H H H H H H H O   H14 C7 O1,mol-27452,114.185,260.52,-266.895,263.56,-263.855,262.89,-264.525,C1
H34 C20 O5,CC(C)(C)c1cc(c(cc1OCOC)OCOCCOC)C(C)(C)C,-0.559,,0,Multiple Molecules - Open Babel Depiction                                                                   O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85027,354.481,,-3.599,,-0.559,,-1.229,C1
H32 C20 O8,COCCOCCOC1(CCCc2cc(c(cc12)O)O)OCCOCCOC,,,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84372,100.116,,1429.699,,1432.739,,1432.069,C1
